,Maturities,ZeroRate,DiscountFactor
0,0.0,0.00370340556397597,1.0
1,0.016666666666666666,0.003703405562553108,0.9998821266765848
2,0.03333333333333333,0.0038932680108332285,0.9997920785824604
3,0.05277777777777778,0.0039438567144625125,0.9996940137297035
4,0.07222222222222222,0.003937723466044929,0.999560922434018
5,0.09722222222222222,0.003941596913755063,0.9994125836015197
6,0.18611111111111112,0.0040368132453201255,0.9988778926554698
7,0.26666666666666666,0.004081311745464333,0.99829573298285
8,0.3527777777777778,0.0041385543869245645,0.9976919917978379
9,0.4388888888888889,0.004255635069940311,0.9970630737021681
10,0.5166666666666667,0.004373460250532979,0.9964795560515831
11,0.7722222222222223,0.004590999256135042,0.9944626067378589
12,1.0277777777777777,0.0047842716994921375,0.9922324209073996
13,1.5305555555555554,0.005101314035318438,0.987671924920838
14,2.0416666666666665,0.005362777729239099,0.9825924081696256
15,3.0555555555555554,0.005855395957566678,0.9703997954004077
16,4.0777777777777775,0.006368670017579348,0.9557850597460883
17,5.088888888888889,0.006994553235162737,0.938958757707085
18,6.1,0.007561958343024422,0.9213788364657168
19,7.113888888888889,0.008193353534180048,0.9020713154095719
20,8.130555555555556,0.008673428166934727,0.8821647868800757
21,9.15,0.009166556809971915,0.8625481204526423
22,10.16388888888889,0.009673281092128061,0.8426460583159154
23,12.188888888888888,0.010537970963035104,0.8050406045521428
24,15.23611111111111,0.011506547095921249,0.7510305137901839
25,20.31111111111111,0.012558515153926919,0.6726187221173169
26,25.377777777777776,0.01303745299527792,0.601787341509517
27,30.45,0.01328196739848142,0.536086410057017
28,40.59722222222222,0.013731557798406069,0.4252042715611811
